,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
21,23,2,15.0,11.0,10.0,13.0,13.0,5.0,7.0,11.0,6.0,1.0,11.75,8.333333333333334,7.0,11.0,6.0,2023.0
22,23,2,14.0,13.0,11.0,12.0,8.0,8.0,8.0,9.0,10.0,1.0,11.0,8.0,8.0,9.0,8.0,2023.0
23,23,2,13.0,13.0,9.0,9.0,8.0,4.0,8.0,6.0,7.0,1.0,9.75,6.666666666666667,8.0,6.0,6.0,2023.0
24,23,2,8.0,8.0,5.0,6.0,6.0,4.0,3.0,4.0,5.0,1.0,6.25,4.333333333333333,3.0,4.0,3.5,2023.0
25,23,2,29.0,27.0,22.0,27.0,23.0,17.0,15.0,19.0,18.0,2.0,24.75,18.333333333333332,15.0,19.0,16.0,2023.0
26,23,2,24.0,21.0,18.0,20.0,20.0,8.0,5.0,14.0,10.0,2.0,19.75,11.0,5.0,14.0,6.5,2023.0
27,23,2,27.0,26.0,17.0,21.0,20.0,20.0,11.0,21.0,17.0,2.0,21.0,17.0,11.0,21.0,15.5,2023.0
28,23,2,23.0,21.0,14.0,20.0,14.0,7.0,7.0,10.0,9.0,2.0,17.25,9.333333333333334,7.0,10.0,7.0,2023.0
29,23,2,27.0,27.0,19.0,24.0,22.0,16.0,12.0,15.0,16.0,2.0,23.0,16.666666666666668,12.0,15.0,14.0,2023.0
30,23,2,13.0,12.0,10.0,12.0,11.0,7.0,11.0,13.0,11.0,3.0,11.25,9.666666666666666,11.0,13.0,9.0,2023.0
31,23,2,13.0,12.0,12.0,11.0,13.0,8.0,11.0,12.0,12.0,3.0,12.0,10.666666666666666,11.0,12.0,9.5,2023.0
94,22,2,32.0,31.0,21.0,24.0,23.0,12.0,22.0,23.0,21.0,0.0,24.75,19.0,22.0,23.0,17.0,2022.5
95,22,2,21.0,17.0,10.0,8.0,16.0,8.0,13.0,12.0,9.0,0.0,12.75,12.333333333333334,13.0,12.0,10.5,2022.5
96,22,2,21.0,20.0,9.0,18.0,10.0,7.0,11.0,11.0,9.0,0.0,14.25,9.333333333333334,11.0,11.0,9.0,2022.5
97,22,2,27.0,25.0,20.0,21.0,20.0,17.0,17.0,19.0,18.0,0.0,21.5,18.0,17.0,19.0,17.0,2022.5
98,22,2,27.0,21.0,17.0,20.0,20.0,11.0,9.0,13.0,11.0,0.0,19.5,13.333333333333334,9.0,13.0,10.0,2022.5
99,22,2,11.0,8.0,6.0,9.0,9.0,8.0,3.0,10.0,8.0,0.0,8.0,6.666666666666667,3.0,10.0,5.5,2022.5
100,22,2,22.0,16.0,20.0,21.0,17.0,6.0,16.0,18.0,16.0,1.0,18.5,13.0,16.0,18.0,11.0,2022.5
101,22,2,11.0,10.0,9.0,11.0,9.0,9.0,8.0,7.0,9.0,1.0,9.75,8.666666666666666,8.0,7.0,8.5,2022.5
102,22,2,23.0,21.0,14.0,18.0,14.0,5.0,8.0,17.0,10.0,2.0,16.75,9.0,8.0,17.0,6.5,2022.5
103,22,2,22.0,22.0,14.0,17.0,19.0,10.0,8.0,15.0,13.0,2.0,18.0,12.333333333333334,8.0,15.0,9.0,2022.5
104,22,2,35.0,32.0,23.0,30.0,31.0,16.0,26.0,29.0,28.0,1.0,29.0,24.333333333333332,26.0,29.0,21.0,2022.5
105,22,2,16.0,15.0,9.0,13.0,12.0,5.0,6.0,10.0,9.0,2.0,12.25,7.666666666666667,6.0,10.0,5.5,2022.5
106,22,2,10.0,10.0,7.0,7.0,10.0,6.0,4.0,7.0,5.0,3.0,8.5,6.666666666666667,4.0,7.0,5.0,2022.5
107,22,2,12.0,10.0,8.0,10.0,10.0,6.0,7.0,6.0,6.0,1.0,9.5,7.666666666666667,7.0,6.0,6.5,2022.5
168,22,2,51.0,50.0,37.0,43.0,39.0,15.0,31.0,41.0,38.0,0.0,42.25,28.333333333333332,31.0,41.0,23.0,2022.0
171,22,2,8.0,7.0,6.0,7.0,8.0,2.0,6.0,7.0,6.0,1.0,7.0,5.333333333333333,6.0,7.0,4.0,2022.0
172,22,2,9.0,7.0,6.0,8.0,6.0,2.0,5.0,6.0,4.0,1.0,6.75,4.333333333333333,5.0,6.0,3.5,2022.0
173,22,2,18.0,16.0,12.0,17.0,13.0,6.0,8.0,14.0,10.0,1.0,14.5,9.0,8.0,14.0,7.0,2022.0
174,22,2,10.0,8.0,5.0,9.0,10.0,4.0,6.0,9.0,6.0,1.0,8.0,6.666666666666667,6.0,9.0,5.0,2022.0
