Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
FA,21,41,4,11,10,5,10,11,9,7,9,9
FA,21,41,4,8,8,3,5,7,6,7,7,6
FA,21,42,4,29,27,9,21,23,12,20,12,20
FA,21,42,4,25,15,8,19,22,5,9,14,10
FA,21,42,4,10,8,3,8,9,5,7,6,5
FA,21,41,4,10,7,1,7,7,2,6,5,2
FA,21,41,4,11,11,4,8,10,3,8,4,4
FA,21,0,5,68,54,51,61,59,52,42,45,53
FA,21,0,5,42,29,23,36,40,33,32,31,31
FA,21,0,5,18,16,8,11,13,11,10,7,12
FA,21,0,5,22,16,7,20,16,12,15,19,13
FA,21,0,5,18,15,10,16,14,11,12,6,11
FA,21,41,5,14,11,12,14,13,11,9,10,12
FA,21,41,5,11,9,10,10,9,7,6,8,9
FA,21,41,5,8,8,5,8,8,6,8,7,7
FA,21,42,5,29,22,17,24,26,18,14,11,22
FA,21,42,5,25,24,18,20,18,18,17,13,17
FA,21,42,5,10,9,6,9,9,10,7,8,9
FA,21,41,5,10,9,9,9,7,6,5,5,8
FA,21,41,5,11,9,5,11,10,9,3,7,7
FA,19,0,1,40,31,37,23,37,38,22,31,31
FA,19,21,1,13,8,12,8,11,12,3,8,8
FA,19,21,1,28,19,26,20,21,23,14,22,20
FA,19,21,1,26,15,19,19,23,24,5,17,17
FA,19,21,1,23,19,21,15,20,22,8,21,18
FA,19,21,1,22,11,18,22,19,21,13,20,20
FA,19,21,1,13,8,10,11,9,12,5,10,11
FA,19,21,1,13,9,13,9,11,13,4,9,9
FA,19,22,1,29,23,27,21,25,25,16,24,20
FA,19,22,1,23,20,21,17,18,21,13,12,18
FA,19,22,1,26,22,25,19,23,23,9,21,21
FA,19,22,1,15,13,14,11,11,14,4,12,10
FA,19,22,1,20,11,18,15,13,17,7,13,13
FA,19,22,1,23,15,21,16,20,21,12,18,17
FA,19,22,1,13,8,11,9,9,12,6,8,8
FA,19,22,1,13,10,12,12,13,13,7,10,12
FA,19,41,1,12,11,10,9,12,4,6,9,9
FA,19,21,1,13,7,13,9,11,12,4,11,12
FA,19,21,1,13,10,12,8,12,12,7,9,10
FA,19,0,2,40,37,23,23,29,18,20,32,24
FA,19,21,2,13,10,7,11,12,8,7,9,9
FA,19,21,2,28,22,15,26,21,14,11,18,18
FA,19,21,2,26,23,15,21,20,12,9,17,16
FA,19,21,2,23,19,17,16,17,14,14,19,17
FA,19,21,2,22,18,12,18,19,7,11,18,14
FA,19,21,2,13,9,8,11,10,5,6,7,8
FA,19,21,2,13,11,5,13,7,4,7,9,5
FA,19,22,2,29,22,22,26,19,15,10,19,14
FA,19,22,2,23,20,15,19,18,10,11,11,16
FA,19,22,2,26,22,15,21,23,11,11,17,16
FA,19,22,2,15,14,15,12,13,9,5,12,9
FA,19,22,2,20,15,10,16,18,5,4,14,6
FA,19,22,2,23,21,15,21,16,11,8,21,13
FA,19,22,2,13,10,10,10,7,3,3,5,3
FA,19,22,2,13,13,8,12,11,8,7,11,10
FA,19,41,2,12,8,10,9,9,9,8,10,9
FA,19,21,2,13,12,8,11,10,3,4,10,8
FA,19,21,2,13,11,8,11,7,6,7,7,6
FA,19,0,3,40,23,33,22,22,24,29,31,23
FA,19,21,3,13,5,11,7,11,6,8,10,7
FA,19,21,3,28,20,23,17,18,14,9,20,14
FA,19,21,3,26,24,19,13,24,19,15,15,17
FA,19,21,3,23,22,19,15,23,19,11,18,19
FA,19,21,3,22,18,22,10,20,14,11,15,12
FA,19,21,3,13,5,11,6,10,10,5,10,7
FA,19,21,3,13,9,9,8,10,6,9,11,7
FA,19,22,3,29,22,27,19,24,19,19,23,23
FA,19,22,3,23,15,23,17,16,16,10,16,13
FA,19,22,3,26,22,25,16,24,18,18,19,20
FA,19,22,3,15,14,14,9,12,11,9,8,11
FA,19,22,3,20,14,15,7,15,9,9,12,7
FA,19,22,3,23,21,18,12,18,12,12,19,14
FA,19,22,3,13,10,10,6,11,7,4,8,6
FA,19,22,3,13,10,11,6,12,10,8,11,12
FA,19,41,3,12,8,10,9,9,9,8,10,8
FA,19,21,3,13,9,12,6,11,10,8,11,9
FA,19,21,3,13,9,12,9,9,8,10,8,9
FA,19,0,4,40,27,35,28,31,17,28,24,21
FA,19,21,4,13,12,9,12,13,6,10,9,11
FA,19,21,4,28,24,19,23,20,9,14,14,14
FA,19,21,4,26,19,6,16,19,11,17,15,9
FA,19,21,4,23,12,9,17,19,12,14,17,11
FA,19,21,4,22,22,8,14,20,11,15,20,13
FA,19,21,4,13,10,3,13,10,6,8,5,6
FA,19,21,4,13,10,4,10,11,6,8,8,6
FA,19,22,4,29,26,20,24,23,23,20,24,23
FA,19,22,4,23,22,14,19,18,15,18,19,17
FA,19,22,4,26,21,12,21,23,14,17,18,15
FA,19,22,4,15,13,6,14,11,9,11,8,7
FA,19,22,4,20,12,10,12,15,7,8,6,8
FA,19,22,4,23,20,11,17,20,12,10,17,14
FA,19,22,4,13,11,7,12,10,7,9,10,11
FA,19,22,4,13,11,5,11,12,7,7,12,8
FA,19,41,4,12,11,11,10,8,4,9,10,8
FA,19,21,4,13,9,5,11,10,8,8,6,8
FA,19,21,4,13,12,6,11,12,9,10,10,10
FA,19,0,5,40,36,28,31,32,24,27,32,28
FA,19,21,5,13,10,9,12,13,12,7,10,9
FA,19,21,5,28,26,19,26,24,18,15,13,17
FA,19,21,5,26,20,10,21,14,15,17,19,14
FA,19,21,5,23,17,8,21,11,16,20,16,14
FA,19,21,5,22,22,8,21,21,19,20,16,20
FA,19,21,5,13,9,7,13,12,9,7,7,8
FA,19,21,5,13,11,9,9,13,4,8,9,9
FA,19,22,5,29,21,12,21,19,24,17,17,13
FA,19,22,5,23,19,10,18,18,14,13,17,14
FA,19,22,5,26,19,19,23,20,15,20,15,18
FA,19,22,5,15,13,11,11,9,6,11,8,10
FA,19,22,5,20,18,14,15,14,12,7,10,11
FA,19,22,5,23,20,15,19,19,16,13,16,15
FA,19,22,5,13,10,5,12,13,8,9,11,11
FA,19,22,5,13,11,11,12,13,9,9,11,12
FA,19,41,5,12,9,7,12,7,9,9,9,8
FA,19,21,5,13,12,11,12,11,7,12,9,11
FA,19,21,5,13,10,8,13,11,8,8,10,9
SP,19,41,1,7,5,6,5,7,7,4,6,6
SP,19,0,1,54,39,51,41,45,51,28,38,37
SP,19,42,1,30,22,30,22,21,22,11,25,20
SP,19,41,1,25,20,20,18,22,21,9,19,17
SP,19,42,1,28,22,25,20,22,24,8,20,18
SP,19,42,1,26,16,23,18,18,25,5,16,15
SP,19,42,1,25,14,23,13,19,23,7,13,17
SP,19,41,1,27,26,26,25,25,21,12,19,24
SP,19,41,1,17,11,16,10,14,10,6,14,9
SP,19,41,1,14,7,12,8,10,13,8,11,9
SP,19,41,1,15,11,14,10,12,13,3,9,9
SP,19,41,2,7,6,4,7,7,6,7,7,7
SP,19,0,2,54,52,34,75,44,17,21,38,41
SP,19,42,2,30,24,17,24,26,14,17,18,17
SP,19,41,2,25,19,12,21,19,15,11,19,16
SP,19,42,2,28,25,10,25,18,11,6,16,14
SP,19,42,2,26,23,13,23,19,11,6,13,14
SP,19,42,2,25,23,13,19,19,6,11,14,15
SP,19,41,2,27,19,17,22,17,11,12,20,14
SP,19,41,2,17,10,10,11,13,3,5,11,5
SP,19,41,2,14,11,12,8,7,3,7,6,7
SP,19,41,2,15,12,9,14,14,5,8,8,9
SP,19,41,3,7,6,6,5,7,5,7,6,6
SP,19,0,3,54,24,45,29,27,29,24,37,28
SP,19,42,3,30,21,29,15,22,22,13,21,18
SP,19,41,3,25,21,19,14,23,12,22,19,18
SP,19,42,3,28,20,23,15,21,17,14,20,14
SP,19,42,3,26,21,24,15,18,20,12,22,17
SP,19,42,3,25,15,23,16,19,19,16,16,18
SP,19,41,3,27,17,26,14,20,21,14,21,17
SP,19,41,3,17,15,15,7,11,11,8,11,10
SP,19,41,3,14,9,11,9,11,5,6,10,8
SP,19,41,3,15,8,15,8,14,9,9,13,11
SP,19,41,4,7,7,5,6,7,7,7,5,7
SP,19,0,4,54,42,42,39,40,18,31,38,29
SP,19,42,4,30,23,15,19,22,14,18,26,16
SP,19,41,4,25,17,3,17,21,7,15,15,10
SP,19,42,4,28,20,10,23,19,11,18,10,10
SP,19,42,4,26,19,9,21,20,8,15,14,11
SP,19,42,4,25,12,5,11,21,9,13,11,11
SP,19,41,4,27,18,20,22,22,11,15,17,16
SP,19,41,4,17,14,9,13,12,9,10,7,6
SP,19,41,4,14,10,3,7,5,7,10,7,6
SP,19,41,4,15,14,7,11,10,6,9,7,6
SP,19,41,5,7,6,5,6,7,6,5,7,6
SP,19,0,5,54,52,39,40,45,34,27,26,14
SP,19,42,5,30,21,12,22,20,17,18,16,16
SP,19,41,5,25,18,11,16,9,12,16,17,7
SP,19,42,5,28,22,20,25,18,15,12,12,15
SP,19,42,5,26,19,14,20,17,13,15,11,8
SP,19,42,5,25,19,11,15,20,13,14,16,9
SP,19,41,5,27,23,16,26,24,25,20,17,23
SP,19,41,5,17,13,10,14,13,8,10,7,8
SP,19,41,5,14,13,7,14,12,9,1,8,8
SP,19,41,5,15,11,10,15,13,9,9,7,9
FA,18,41,1,27,24,23,21,20,23,12,23,23
FA,18,42,1,29,23,28,18,22,25,,25,
FA,18,42,1,27,19,27,21,23,21,,24,
FA,18,0,1,31,23,29,21,28,28,14,25,21
FA,18,11,1,13,10,10,9,11,12,4,8,8
FA,18,42,1,28,26,25,16,22,25,10,22,23
FA,18,42,1,31,21,27,21,23,29,8,23,21
FA,18,41,1,26,19,19,18,19,22,7,18,14
FA,18,41,1,25,23,25,17,20,19,10,16,16
FA,18,42,1,27,21,24,15,22,25,10,22,17
FA,18,42,1,27,22,24,18,22,25,7,20,19
FA,18,42,1,11,7,8,7,7,9,3,9,5
FA,18,41,1,24,20,20,21,23,23,17,24,20
FA,18,41,1,29,23,25,20,27,28,11,26,22
FA,18,41,1,14,7,13,5,7,11,7,10,6
FA,18,41,1,13,11,11,6,9,11,3,7,6
FA,18,41,2,27,22,16,20,21,9,13,16,14
FA,18,42,2,29,26,18,28,22,16,11,18,18
FA,18,42,2,27,21,20,27,22,16,9,19,14
FA,18,0,2,31,26,18,24,22,9,5,23,15
FA,18,11,2,13,12,7,7,10,4,4,9,6
FA,18,42,2,28,24,21,25,19,10,13,18,15
FA,18,42,2,31,24,19,23,20,7,6,13,9
FA,18,41,2,26,21,14,21,19,11,11,24,14
FA,18,41,2,25,17,6,17,14,6,9,16,6
FA,18,42,2,27,24,15,23,16,12,12,23,17
FA,18,42,2,27,26,18,22,22,15,15,25,21
FA,18,42,2,11,10,7,9,9,2,3,8,8
FA,18,41,2,24,19,22,22,22,9,18,18,19
FA,18,41,2,29,18,19,26,24,16,10,15,14
FA,18,41,2,14,13,6,12,12,5,0,8,4
FA,18,41,2,13,11,6,9,9,5,0,10,4
FA,18,41,3,27,24,22,13,19,18,11,14,13
FA,18,42,3,29,16,28,17,22,23,17,22,19
FA,18,42,3,27,21,27,17,18,15,21,23,19
FA,18,0,3,31,17,30,15,18,15,13,22,11
FA,18,11,3,13,5,12,6,9,9,9,9,8
FA,18,42,3,28,21,26,15,21,17,20,21,20
FA,18,42,3,31,24,26,19,23,12,15,17,14
FA,18,41,3,26,22,23,19,24,20,21,19,22
FA,18,41,3,25,16,21,10,18,13,14,16,12
FA,18,42,3,27,25,23,7,21,16,19,19,13
FA,18,42,3,27,21,21,17,26,16,22,22,22
FA,18,42,3,11,8,9,2,8,5,6,8,6
FA,18,41,3,24,16,22,11,23,15,16,19,18
FA,18,41,3,29,13,23,18,19,22,23,20,18
FA,18,41,3,14,8,10,8,13,8,5,7,8
FA,18,41,3,13,8,12,10,10,7,9,7,9
FA,18,41,4,27,22,20,23,25,10,18,19,19
FA,18,42,4,29,23,20,23,22,20,18,22,19
FA,18,42,4,27,24,16,23,24,18,17,25,20
FA,18,0,4,31,17,5,18,20,9,15,12,7
FA,18,11,4,13,8,8,8,9,5,8,5,7
FA,18,42,4,28,23,13,22,24,11,17,17,14
FA,18,42,4,31,24,11,22,20,12,16,22,14
FA,18,41,4,26,24,5,23,20,11,15,3,11
FA,18,41,4,25,20,14,16,16,8,10,10,6
FA,18,42,4,29,21,11,20,22,12,17,19,17
FA,18,42,4,29,23,15,21,23,16,21,26,20
FA,18,42,4,11,6,6,6,9,5,4,5,3
FA,18,41,4,24,21,7,19,19,18,18,21,17
FA,18,41,4,29,21,11,23,25,22,19,19,20
FA,18,41,4,14,9,5,11,10,6,4,5,4
